StudentCode,Score,LetterGrade,Notes
HE180319,6.6,C,Sample
HE180320,7.1,B,Sample
HE180321,7.0,B,Sample
HE180322,4.2,D,Sample
HE180323,9.1,A,Sample
HE180324,9.1,A,Sample
HE180325,4.3,D,Sample
HE180326,4.5,D,Sample
HE180327,4.1,D,Sample
HE180328,5.9,C,Sample
HE180329,5.1,D,Sample
HE180330,7.0,B,Sample
HE180331,8.9,A,Sample
HE180332,7.9,B,Sample
HE180333,4.3,D,Sample
HE180334,5.1,D,Sample
HE180335,8.9,A,Sample
HE180336,6.3,C,Sample
HE180337,5.8,C,Sample
HE180338,4.4,D,Sample
HE180339,4.7,D,Sample
HE180340,8.7,A,Sample
HE180341,4.9,D,Sample
HE180342,6.1,C,Sample
HE180343,7.1,B,Sample
HE180344,9.3,A,Sample
